pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-04-08	Need for zkSpeed: Accelerating HyperPlonk for Zero-Knowledge Proofs	ISCA 2025	An accelerator for HyperPlonk, a state-of-the-art ZKP protocol that supports universal setup and small proof sizes, achieving 801× speedup over CPU baselines.	Daftardar, A., Mo, J., Ah-kiow, J., Bünz, B., Karri, R., Garg, S., & Reagen, B. (2025). "Need for zkSpeed: Accelerating HyperPlonk for Zero-Knowledge Proofs" <i>ISCA 2025</i>.	zkspeed	https://arxiv.org/abs/2504.06211	
2024-08-12	SZKP: A Scalable Accelerator Architecture for Zero-Knowledge Proofs	PACT 2024	A scalable accelerator architecture designed to improve the performance of zero-knowledge proof computation.	Daftardar, A., Reagen, B., Garg, S. (2024). "SZKP: A Scalable Accelerator Architecture for Zero-Knowledge Proofs" <i>PACT 2024</i>.	szkp	https://arxiv.org/abs/2408.05890	
